,game,model,experiment,episode,metric,value
0,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_5,Request Count,8.0
1,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_5,Violated Request Count,0.0
2,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_5,Parsed Request Count,8.0
3,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_5,Aborted,0.0
4,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_5,Success,0.0
5,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_5,Lose,1.0
6,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_5,Main Score,0.0
7,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_2,Request Count,17.0
8,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_2,Violated Request Count,0.0
9,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_2,Parsed Request Count,17.0
10,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_2,Aborted,0.0
11,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_2,Success,0.0
12,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_2,Lose,1.0
13,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_2,Main Score,0.0
14,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_3,Request Count,8.0
15,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_3,Violated Request Count,0.0
16,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_3,Parsed Request Count,8.0
17,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_3,Aborted,0.0
18,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_3,Success,0.0
19,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_3,Lose,1.0
20,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_3,Main Score,0.0
21,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_4,Request Count,21.0
22,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_4,Violated Request Count,0.0
23,escape_room,InternVL3-1B-t0.0--InternVL3-1B-t0.0,15_far,episode_4,Parsed Request Count,21.0
